0.03703704,0.02654867,0.00235294,0.44904459,0.03703704,0.03773585,0.16049383,0.50000000,0.00398406,0.03448276,0.04977376,0.13911620,0.06071429,0.17772693,0.03571429,0.11274510,0.03571429,0.10550763,0.48351648,0.55876866,0.02222222,0.00602410,0.08433735,0.08823529,0.46062992,0.02777778,0.22585034
0.00321543,0.02500000,0.03703704,0.03703704,0.22390892,0.03703704,0.03703704,0.03703704,0.01408451,0.02631579,0.03703704,0.00492611,0.03703704,0.03703704,0.00467290,0.03703704,0.03703704,0.00917431,0.50000000,0.16129032,0.00606061,0.03333333,0.03703704,0.03703704,0.69230769,0.03703704,0.23913043
0.00257069,0.03703704,0.02702703,0.03703704,0.45779221,0.03703704,0.03703704,0.33615819,0.01190476,0.03703704,0.48362235,0.00709220,0.03703704,0.03703704,0.00364299,0.03703704,0.03703704,0.00819672,0.13333333,0.15151515,0.01298701,0.03703704,0.03703704,0.03703704,0.13333333,0.03703704,0.17460317
0.02325581,0.02941176,0.02777778,0.19298246,0.25876011,0.03703704,0.02325581,0.03703704,0.00344828,0.03448276,0.03448276,0.01449275,0.03448276,0.67500000,0.15495868,0.03703704,0.03703704,0.00719424,0.84057971,0.03703704,0.02222222,0.03333333,0.02439024,0.03703704,0.87593985,0.03703704,0.30749354
0.01987768,0.02325581,0.00446429,0.65122265,0.19886364,0.02884615,0.12121212,0.01851852,0.01333333,0.03571429,0.22222222,0.13243243,0.20760234,0.47380952,0.00276243,0.20000000,0.03125000,0.54566929,0.69972452,0.46107784,0.03333333,0.00342466,0.53012048,0.01709402,0.49000000,0.03448276,0.22676580
0.00781250,0.03703704,0.03703704,0.03703704,0.37368421,0.43670886,0.03703704,0.03703704,0.00462963,0.03703704,0.03703704,0.00925926,0.03703704,0.03703704,0.00307692,0.03703704,0.03703704,0.00507614,0.21212121,0.30263158,0.00649351,0.03703704,0.03703704,0.03703704,0.10344828,0.03703704,0.20592194
0.00751880,0.03703704,0.03703704,0.03703704,0.25835866,0.03703704,0.02222222,0.39711191,0.01098901,0.03703704,0.03703704,0.01234568,0.06451613,0.22413793,0.14851485,0.03703704,0.03703704,0.00854701,0.74000000,0.03703704,0.00552486,0.03703704,0.03703704,0.03703704,0.03703704,0.03703704,0.24329692
0.00120482,0.03225806,0.03571429,0.03030303,0.66440129,0.03703704,0.03703704,0.03703704,0.00083195,0.03703704,0.03703704,0.03333333,0.03703704,0.46000000,0.16216216,0.03333333,0.03703704,0.00653595,0.35000000,0.71612903,0.01492537,0.03703704,0.03448276,0.03703704,0.63095238,0.03703704,0.27095517
0.11666667,0.01785714,0.10434783,0.31831832,0.44299674,0.33497537,0.04888889,0.03703704,0.07142857,0.03703704,0.01052632,0.06291391,0.47894737,0.19857820,0.00307692,0.18103448,0.03448276,0.16483516,0.72124601,0.43707094,0.03225806,0.00909091,0.03703704,0.09090909,0.03571429,0.01886792,0.23529412
0.01754386,0.03703704,0.03703704,0.03703704,0.02173913,0.03703704,0.03703704,0.03703704,0.03571429,0.03703704,0.03703704,0.03703704,0.03703704,0.03703704,0.02272727,0.03703704,0.03703704,0.03703704,0.03703704,0.03703704,0.00869565,0.03703704,0.03703704,0.03703704,0.03703704,0.03703704,0.03703704
